# NCRADS9 menu tree -- GENERATED, do not edit by hand.
# Regenerate with: python tools/dump_menus.py --output docs/parity/ncrads9_menus.txt
# entries: 945 (839 excluding separators)
#
# Format: <menu path>|<kind>|<label>

# File
.file|command|Open
.file|cascade|Open as
.file.openas|command|Slice
.file.openas|separator|---
.file.openas|command|RGB Image
.file.openas|command|RGB Cube
.file.openas|command|HSV Image
.file.openas|command|HSV Cube
.file.openas|command|HLS Image
.file.openas|command|HLS Cube
.file.openas|separator|---
.file.openas|command|Multiple Extension Cube
.file.openas|command|Multiple Extension Frames
.file.openas|separator|---
.file.openas|command|Mosaic WCS
.file.openas|command|Mosaic WCS Segment
.file.openas|command|Mosaic IRAF
.file.openas|command|Mosaic IRAF Segment
.file.openas|command|Mosaic WFPC2
.file.openas|separator|---
.file.openas|command|URL
.file|command|Save
.file|command|Save As
.file|cascade|Save as
.file.saveas|command|Slice
.file.saveas|separator|---
.file.saveas|command|RGB Image
.file.saveas|command|RGB Cube
.file.saveas|command|HSV Image
.file.saveas|command|HSV Cube
.file.saveas|command|HLS Image
.file.saveas|command|HLS Cube
.file.saveas|separator|---
.file.saveas|command|Multiple Extension Cube
.file.saveas|separator|---
.file.saveas|command|Mosaic WCS
.file.saveas|command|Mosaic WCS Segment
.file|separator|---
.file|command|Prism
.file|separator|---
.file|cascade|Save Image
.file.saveimage|command|FITS
.file.saveimage|command|EPS
.file.saveimage|command|GIF
.file.saveimage|command|TIFF
.file.saveimage|command|JPEG
.file.saveimage|command|PNG
.file|command|Export
.file|separator|---
.file|command|Backup
.file|command|Restore
.file|command|Print
.file|separator|---
.file|command|Exit
# Edit
.edit|command|Undo
.edit|command|Redo
.edit|separator|---
.edit|command|Cut
.edit|command|Copy
.edit|command|Paste
.edit|separator|---
.edit|separator|---
.edit|radiobutton|None
.edit|radiobutton|Region
.edit|radiobutton|Crosshair
.edit|radiobutton|Colorbar
.edit|radiobutton|Pan
.edit|radiobutton|Zoom
.edit|radiobutton|Rotate
.edit|radiobutton|Crop
.edit|radiobutton|Catalog
.edit|radiobutton|Footprint
.edit|radiobutton|Examine
.edit|radiobutton|3D
.edit|radiobutton|Illustrate
.edit|separator|---
.edit|command|Preferences
# View
.view|radiobutton|Horizontal
.view|radiobutton|Vertical
.view|radiobutton|Basic
.view|radiobutton|Advanced
.view|separator|---
.view|checkbutton|Information Panel
.view|checkbutton|Panner
.view|checkbutton|Magnifier
.view|checkbutton|Buttons
.view|checkbutton|Icons
.view|separator|---
.view|checkbutton|Colorbar
.view|checkbutton|Multiple Colorbars
.view|checkbutton|Horizontal Graph
.view|checkbutton|Vertical Graph
.view|separator|---
.view|checkbutton|Filename
.view|checkbutton|Object
.view|checkbutton|Keyword
.view|checkbutton|Min Max
.view|checkbutton|Low High
.view|checkbutton|Units
.view|checkbutton|WCS
.view|cascade|Multiple WCS
.view.multiplewcs|checkbutton|WCS a
.view.multiplewcs|checkbutton|WCS b
.view.multiplewcs|checkbutton|WCS c
.view.multiplewcs|checkbutton|WCS d
.view.multiplewcs|checkbutton|WCS e
.view.multiplewcs|checkbutton|WCS f
.view.multiplewcs|checkbutton|WCS g
.view.multiplewcs|checkbutton|WCS h
.view.multiplewcs|checkbutton|WCS i
.view.multiplewcs|checkbutton|WCS j
.view.multiplewcs|checkbutton|WCS k
.view.multiplewcs|checkbutton|WCS l
.view.multiplewcs|checkbutton|WCS m
.view.multiplewcs|checkbutton|WCS n
.view.multiplewcs|checkbutton|WCS o
.view.multiplewcs|checkbutton|WCS p
.view.multiplewcs|checkbutton|WCS q
.view.multiplewcs|checkbutton|WCS r
.view.multiplewcs|checkbutton|WCS s
.view.multiplewcs|checkbutton|WCS t
.view.multiplewcs|checkbutton|WCS u
.view.multiplewcs|checkbutton|WCS v
.view.multiplewcs|checkbutton|WCS w
.view.multiplewcs|checkbutton|WCS x
.view.multiplewcs|checkbutton|WCS y
.view.multiplewcs|checkbutton|WCS z
.view|checkbutton|Image
.view|checkbutton|Physical
.view|checkbutton|Amplifier
.view|checkbutton|Detector
.view|checkbutton|Frame Information
.view|separator|---
.view|checkbutton|Fullscreen
.view|checkbutton|Show Status Bar
# Frame
.frame|command|New Frame
.frame|command|New Frame RGB
.frame|command|New Frame HSV
.frame|command|New Frame HLS
.frame|command|New Frame 3D
.frame|separator|---
.frame|command|Delete Frame
.frame|command|Delete All Frames
.frame|separator|---
.frame|command|Clear Frame
.frame|command|Reset Frame
.frame|command|Refresh Frame
.frame|separator|---
.frame|radiobutton|Single Frame
.frame|radiobutton|Tile Frames
.frame|radiobutton|Blink Frames
.frame|radiobutton|Fade Frames
.frame|separator|---
